user_id,exercise_title,rating
user1,Bench Press,4
user1,Treadmill Running,3
user1,Yoga Stretch,2
user1,Squat,5
user2,Squat,5
user2,Yoga Stretch,4
user2,Deadlift,3
user2,Cycling,4
user3,Push-Up,4
user3,Leg Press,3
user3,Child Pose,5
user3,Jump Rope,4
user4,Lat Pulldown,4
user4,Elliptical Trainer,3
user4,Seated Hamstring Stretch,4
user4,Overhead Press,2
test_user,Push-Up,4
test_user,Treadmill Running,3
test_user,Child Pose,5
test_user,Dumbbell Row,4
user1,Plank,3
user2,Barbell Row,4
user3,Stationary Bike,3
user4,Lunges,3
test_user,Seated Hamstring Stretch,4
13,Wide-grip barbell curl,3
13,Close-grip EZ-bar curl,3
13,Band Hip Adductions,3
13,Fire Hydrant,3
13,Bench barbell roll-out,3
13,Barbell Side Bend,3
13,Stomach Vacuum,3
13,Adductor SMR,3
13,Barbell Curls Lying Against An Incline,3
13,Seated Close-Grip Concentration Barbell Curl,3
13,Calf Raises - With Bands,3
13,Rocking Standing Calf Raise,3
13,Advanced Kettlebell Windmill,3
13,Kettlebell Pass Between The Legs,3
13,Lying Bent Leg Groin,3
13,Standing Hip Circles,3
13,Close-grip barbell curl,3
13,Drag curl,3
13,Standing barbell calf raise,3
13,Barbell Seated Calf Raise,3
13,Dumbbell spell caster,3
13,Plate Twist,3
13,Groiners,3
13,Side Leg Raises,3
13,Lying High Bench Barbell Curl,3
13,Seated wide-grip curl to close-grip curl,3
13,Calf Raise On A Dumbbell,3
13,Balance Board,3
13,Bosu Ball Cable Crunch With Side Bends,3
13,Cable reverse crunch,3
13,Single-leg lying cross-over stretch,3
13,Groin and Back Stretch,3
13,Seated Straigh-Bar Curl Superset,3
13,Incline Hammer Curls,3
13,Standing Calf Raises,3
13,Calf Press,3
13,Cable Russian Twists,3
13,Cable Seated Crunch,3
13,Adductor/Groin,3
13,Brachialis SMR,3
13,Biceps curl to shoulder press,3
13,Flexor Incline Dumbbell Curls,3
13,Smith Machine Reverse Calf Raises,3
13,Hip Extension with Bands,3
13,Cable Judo Flip,3
13,Gorilla Chin/Crunch,3
13,Standing Biceps Stretch,3
13,Seated Biceps,3
13,Standing concentration curl,4
13,Cross-body hammer curl,3
13,Preacher Hammer Dumbbell Curl,3
13,Hip Lift with Band,3
13,Kneeling Squat,3
13,Crunch - Hands Overhead,3
13,Butt-Ups,3
